"","uID","uLoc","rep","year","height","height_prev","X","Y"
"4241","5247:1613","5247:1613",0,2004,24,5,98.39,-121.34
"4243","5247:1614","5247:1614",1,2004,47,40,98.55,-121.27
"4245","5247:1615","5247:1615",0,2004,2,2,98.45,-121.35
"4247","5247:1616","5247:1616",1,2004,51,35,98.53,-121.18
"4255","5247:1620","5247:1620",1,2004,37,38,99.27,-121.2
"4257","5247:1621","5247:1621",0,2004,33,17,100.27,-121.53
"4259","5247:1622","5247:1622",1,2004,34,27,99.78,-122
"4261","5247:1623","5247:1623",1,2004,44,43,100.25,-122.5
"4263","5247:1624","5247:1624",1,2004,35,33,102.3,-121.59
"4265","5247:1625","5247:1625",1,2004,43,45,103.01,-122.82
"4267","5247:1626","5247:1626",0,2004,14,2,102.21,-123.25
"4269","5247:1627","5247:1627",0,2004,32,59,101.38,-124.86
"4273","5247:1629","5247:1629",0,2004,19,1,101.42,-123.68
"4275","5247:1630","5247:1630",0,2004,21,3,101.17,-122.98
"4277","5247:1631","5247:1631",0,2004,30,6,101.09,-122.9
"4279","5247:1632","5247:1632",1,2004,33,32,100.76,-124.84
"4281","5247:1633","5247:1633",1,2004,40,28,100.78,-124.8
"4283","5247:1634","5247:1634",1,2004,29,10,100.54,-125
"4285","5247:1635","5247:1635",0,2004,24,2,100.66,-124.98
"4287","5248:1636","5248:1636",0,2004,8,3,101.76,-126.33
"4289","5248:1637","5248:1637",0,2004,5,2,103.3,-125.91
"4291","5168:1638","5168:1638",1,2004,44,21,108.57,-118.46
"4295","5168:1640","5168:1640",1,2004,38,26,108.46,-117.85
"4297","5161:1641","5161:1641",1,2004,40,37,106.1,-134.45
"4299","5161:1642","5161:1642",1,2004,44,42,105.89,-134.41
"4301","5161:1643","5161:1643",0,2004,18,2,103.83,-136.32
"4303","5166:1644","5166:1644",1,2004,40,18,136.56,-142.03
"4305","5166:1645","5166:1645",1,2004,24,3,137.25,-141.11
"4307","5166:1646","5166:1646",0,2004,4,6,136.74,-141.87
